Serial_number:
2104827
Project ID:

Location:
S2S1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/8/2023,11:53:28 am,0,9.816,20.90
6/8/2023,12:23:28 pm,0,9.810,20.50
6/8/2023,12:53:28 pm,0,9.807,19.60
6/8/2023,01:23:28 pm,0,9.807,19.30
6/8/2023,01:53:28 pm,0,9.798,24.00
6/8/2023,02:23:28 pm,0,10.467,8.10
6/8/2023,02:53:28 pm,0,10.449,7.40
6/8/2023,03:23:28 pm,0,10.446,7.30
6/8/2023,03:53:28 pm,0,10.446,7.30
6/8/2023,04:23:28 pm,0,10.443,7.30
6/8/2023,04:53:28 pm,0,10.440,7.30
6/8/2023,05:23:28 pm,0,10.437,7.20
6/8/2023,05:53:28 pm,0,10.437,7.20
6/8/2023,06:23:28 pm,0,10.437,7.20
6/8/2023,06:53:28 pm,0,10.440,7.20
6/8/2023,07:23:28 pm,0,10.437,7.20
6/8/2023,07:53:28 pm,0,10.437,7.20
6/8/2023,08:23:28 pm,0,10.440,7.20
6/8/2023,08:53:28 pm,0,10.443,7.20
6/8/2023,09:23:28 pm,0,10.443,7.20
6/8/2023,09:53:28 pm,0,10.446,7.20
6/8/2023,10:23:28 pm,0,10.443,7.20
6/8/2023,10:53:28 pm,0,10.446,7.20
6/8/2023,11:23:28 pm,0,10.446,7.20
6/8/2023,11:53:28 pm,0,10.449,7.20
6/9/2023,12:23:28 am,0,10.446,7.20
6/9/2023,12:53:28 am,0,10.443,7.20
6/9/2023,01:23:28 am,0,10.443,7.30
6/9/2023,01:53:28 am,0,10.446,7.30
6/9/2023,02:23:28 am,0,10.449,7.30
6/9/2023,02:53:28 am,0,10.446,7.30
6/9/2023,03:23:28 am,0,10.446,7.30
6/9/2023,03:53:28 am,0,10.446,7.30
6/9/2023,04:23:28 am,0,10.446,7.30
6/9/2023,04:53:28 am,0,10.446,7.30
6/9/2023,05:23:28 am,0,10.446,7.30
6/9/2023,05:53:28 am,0,10.446,7.30
6/9/2023,06:23:28 am,0,10.443,7.30
6/9/2023,06:53:28 am,0,10.440,7.30
6/9/2023,07:23:28 am,0,10.440,7.30
6/9/2023,07:53:28 am,0,10.437,7.30
6/9/2023,08:23:28 am,0,10.434,7.30
6/9/2023,08:53:28 am,0,10.434,7.30
6/9/2023,09:23:28 am,0,10.431,7.30
6/9/2023,09:53:28 am,0,10.425,7.30
6/9/2023,10:23:28 am,0,10.425,7.30
6/9/2023,10:53:28 am,0,10.419,7.30
6/9/2023,11:23:28 am,0,10.416,7.30
6/9/2023,11:53:28 am,0,10.416,7.30
6/9/2023,12:23:28 pm,0,10.413,7.30
6/9/2023,12:53:28 pm,0,10.410,7.30
6/9/2023,01:23:28 pm,0,10.407,7.30
6/9/2023,01:53:28 pm,0,10.404,7.30
6/9/2023,02:23:28 pm,0,10.398,7.30
6/9/2023,02:53:28 pm,0,10.398,7.40
6/9/2023,03:23:28 pm,0,10.395,7.40
6/9/2023,03:53:28 pm,0,10.392,7.40
6/9/2023,04:23:28 pm,0,10.389,7.40
6/9/2023,04:53:28 pm,0,10.383,7.40
6/9/2023,05:23:28 pm,0,10.383,7.40
6/9/2023,05:53:28 pm,0,10.395,7.40
6/9/2023,06:23:28 pm,0,10.401,7.40
6/9/2023,06:53:28 pm,0,10.410,7.40
6/9/2023,07:23:28 pm,0,10.407,7.40
6/9/2023,07:53:28 pm,0,10.404,7.40
6/9/2023,08:23:28 pm,0,10.407,7.40
6/9/2023,08:53:28 pm,0,10.410,7.40
6/9/2023,09:23:28 pm,0,10.410,7.40
6/9/2023,09:53:28 pm,0,10.410,7.40
6/9/2023,10:23:28 pm,0,10.407,7.40
6/9/2023,10:53:28 pm,0,10.410,7.40
6/9/2023,11:23:28 pm,0,10.410,7.40
6/9/2023,11:53:28 pm,0,10.410,7.40
6/10/2023,12:23:28 am,0,10.413,7.40
6/10/2023,12:53:28 am,0,10.410,7.40
6/10/2023,01:23:28 am,0,10.410,7.40
6/10/2023,01:53:28 am,0,10.407,7.40
6/10/2023,02:23:28 am,0,10.407,7.40
6/10/2023,02:53:28 am,0,10.407,7.40
6/10/2023,03:23:28 am,0,10.407,7.40
6/10/2023,03:53:28 am,0,10.413,7.40
6/10/2023,04:23:28 am,0,10.416,7.40
6/10/2023,04:53:28 am,0,10.416,7.40
6/10/2023,05:23:28 am,0,10.419,7.40
6/10/2023,05:53:28 am,0,10.422,7.40
6/10/2023,06:23:28 am,0,10.425,7.40
6/10/2023,06:53:28 am,0,10.428,7.40
6/10/2023,07:23:28 am,0,10.428,7.40
6/10/2023,07:53:28 am,0,10.431,7.40
6/10/2023,08:23:28 am,0,10.434,7.40
6/10/2023,08:53:28 am,0,10.437,7.40
6/10/2023,09:23:28 am,0,10.440,7.40
6/10/2023,09:53:28 am,0,10.440,7.40
6/10/2023,10:23:28 am,0,10.446,7.50
6/10/2023,10:53:28 am,0,10.446,7.50
6/10/2023,11:23:28 am,0,10.446,7.50
6/10/2023,11:53:28 am,0,10.449,7.50
6/10/2023,12:23:28 pm,0,10.449,7.50
6/10/2023,12:53:28 pm,0,10.452,7.50
6/10/2023,01:23:28 pm,0,10.452,7.50
6/10/2023,01:53:28 pm,0,10.452,7.50
6/10/2023,02:23:28 pm,0,10.455,7.50
6/10/2023,02:53:28 pm,0,10.455,7.50
6/10/2023,03:23:28 pm,0,10.455,7.50
6/10/2023,03:53:28 pm,0,10.455,7.50
6/10/2023,04:23:28 pm,0,10.455,7.50
6/10/2023,04:53:28 pm,0,10.455,7.50
6/10/2023,05:23:28 pm,0,10.455,7.50
6/10/2023,05:53:28 pm,0,10.455,7.50
6/10/2023,06:23:28 pm,0,10.455,7.50
6/10/2023,06:53:28 pm,0,10.455,7.50
6/10/2023,07:23:28 pm,0,10.458,7.50
6/10/2023,07:53:28 pm,0,10.461,7.50
6/10/2023,08:23:28 pm,0,10.464,7.50
6/10/2023,08:53:28 pm,0,10.467,7.50
6/10/2023,09:23:28 pm,0,10.470,7.50
6/10/2023,09:53:28 pm,0,10.473,7.50
6/10/2023,10:23:28 pm,0,10.476,7.50
6/10/2023,10:53:28 pm,0,10.479,7.50
6/10/2023,11:23:28 pm,0,10.479,7.50
6/10/2023,11:53:28 pm,0,10.476,7.50
6/11/2023,12:23:28 am,0,10.476,7.50
6/11/2023,12:53:28 am,0,10.476,7.50
6/11/2023,01:23:28 am,0,10.479,7.50
6/11/2023,01:53:28 am,0,10.479,7.50
6/11/2023,02:23:28 am,0,10.482,7.50
6/11/2023,02:53:28 am,0,10.482,7.50
6/11/2023,03:23:28 am,0,10.485,7.50
6/11/2023,03:53:28 am,0,10.485,7.50
6/11/2023,04:23:28 am,0,10.488,7.50
6/11/2023,04:53:28 am,0,10.488,7.50
6/11/2023,05:23:28 am,0,10.491,7.50
6/11/2023,05:53:28 am,0,10.494,7.50
6/11/2023,06:23:28 am,0,10.494,7.50
6/11/2023,06:53:28 am,0,10.497,7.50
6/11/2023,07:23:28 am,0,10.497,7.60
6/11/2023,07:53:28 am,0,10.497,7.60
6/11/2023,08:23:28 am,0,10.497,7.60
6/11/2023,08:53:28 am,0,10.494,7.60
6/11/2023,09:23:28 am,0,10.491,7.60
6/11/2023,09:53:28 am,0,10.488,7.60
6/11/2023,10:23:28 am,0,10.485,7.60
6/11/2023,10:53:28 am,0,10.479,7.60
6/11/2023,11:23:28 am,0,10.476,7.60
6/11/2023,11:53:28 am,0,10.470,7.60
6/11/2023,12:23:28 pm,0,10.467,7.60
6/11/2023,12:53:28 pm,0,10.464,7.60
6/11/2023,01:23:28 pm,0,10.458,7.60
6/11/2023,01:53:28 pm,0,10.458,7.60
6/11/2023,02:23:28 pm,0,10.455,7.60
6/11/2023,02:53:28 pm,0,10.449,7.60
6/11/2023,03:23:28 pm,0,10.446,7.60
6/11/2023,03:53:28 pm,0,10.443,7.60
6/11/2023,04:23:28 pm,0,10.440,7.60
6/11/2023,04:53:28 pm,0,10.437,7.60
6/11/2023,05:23:28 pm,0,10.437,7.60
6/11/2023,05:53:28 pm,0,10.437,7.60
6/11/2023,06:23:28 pm,0,10.434,7.60
6/11/2023,06:53:28 pm,0,10.434,7.60
6/11/2023,07:23:28 pm,0,10.434,7.60
6/11/2023,07:53:28 pm,0,10.434,7.60
6/11/2023,08:23:28 pm,0,10.434,7.60
6/11/2023,08:53:28 pm,0,10.434,7.60
6/11/2023,09:23:28 pm,0,10.434,7.60
6/11/2023,09:53:28 pm,0,10.434,7.60
6/11/2023,10:23:28 pm,0,10.431,7.60
6/11/2023,10:53:28 pm,0,10.431,7.60
6/11/2023,11:23:28 pm,0,10.428,7.60
6/11/2023,11:53:28 pm,0,10.425,7.60
6/12/2023,12:23:28 am,0,10.425,7.60
6/12/2023,12:53:28 am,0,10.425,7.60
6/12/2023,01:23:28 am,0,10.425,7.60
6/12/2023,01:53:28 am,0,10.422,7.60
6/12/2023,02:23:28 am,0,10.422,7.60
6/12/2023,02:53:28 am,0,10.419,7.60
6/12/2023,03:23:28 am,0,10.419,7.60
6/12/2023,03:53:28 am,0,10.419,7.60
6/12/2023,04:23:28 am,0,10.422,7.60
6/12/2023,04:53:28 am,0,10.422,7.60
6/12/2023,05:23:28 am,0,10.422,7.60
6/12/2023,05:53:28 am,0,10.422,7.70
6/12/2023,06:23:28 am,0,10.422,7.70
6/12/2023,06:53:28 am,0,10.419,7.70
6/12/2023,07:23:28 am,0,10.419,7.70
6/12/2023,07:53:28 am,0,10.416,7.70
6/12/2023,08:23:28 am,0,10.416,7.70
6/12/2023,08:53:28 am,0,10.410,7.70
6/12/2023,09:23:28 am,0,10.404,7.70
6/12/2023,09:53:28 am,0,10.401,7.70
6/12/2023,10:23:28 am,0,10.395,7.70
6/12/2023,10:53:28 am,0,10.392,7.70
6/12/2023,11:23:28 am,0,10.386,7.70
6/12/2023,11:53:28 am,0,10.383,7.70
6/12/2023,12:23:28 pm,0,10.377,7.70
6/12/2023,12:53:28 pm,0,10.374,7.70
6/12/2023,01:23:28 pm,0,10.371,7.70
6/12/2023,01:53:28 pm,0,10.365,7.70
6/12/2023,02:23:28 pm,0,10.365,7.70
6/12/2023,02:53:28 pm,0,10.359,7.70
6/12/2023,03:23:28 pm,0,10.356,7.70
6/12/2023,03:53:28 pm,0,10.356,7.70
6/12/2023,04:23:28 pm,0,10.353,7.70
6/12/2023,04:53:28 pm,0,10.350,7.70
6/12/2023,05:23:28 pm,0,10.350,7.70
6/12/2023,05:53:28 pm,0,10.347,7.70
6/12/2023,06:23:28 pm,0,10.347,7.70
6/12/2023,06:53:28 pm,0,10.347,7.70
6/12/2023,07:23:28 pm,0,10.347,7.70
6/12/2023,07:53:28 pm,0,10.347,7.70
6/12/2023,08:23:28 pm,0,10.347,7.70
6/12/2023,08:53:28 pm,0,10.350,7.70
6/12/2023,09:23:28 pm,0,10.347,7.70
6/12/2023,09:53:28 pm,0,10.347,7.70
6/12/2023,10:23:28 pm,0,10.347,7.70
6/12/2023,10:53:28 pm,0,10.347,7.70
6/12/2023,11:23:28 pm,0,10.347,7.70
6/12/2023,11:53:28 pm,0,10.344,7.70
6/13/2023,12:23:28 am,0,10.341,7.70
6/13/2023,12:53:28 am,0,10.344,7.70
6/13/2023,01:23:28 am,0,10.344,7.70
6/13/2023,01:53:28 am,0,10.344,7.70
6/13/2023,02:23:28 am,0,10.344,7.70
6/13/2023,02:53:28 am,0,10.344,7.70
6/13/2023,03:23:28 am,0,10.341,7.70
6/13/2023,03:53:28 am,0,10.341,7.70
6/13/2023,04:23:28 am,0,10.344,7.70
6/13/2023,04:53:28 am,0,10.341,7.70
6/13/2023,05:23:28 am,0,10.344,7.70
6/13/2023,05:53:28 am,0,10.341,7.70
6/13/2023,06:23:28 am,0,10.341,7.70
6/13/2023,06:53:28 am,0,10.341,7.70
6/13/2023,07:23:28 am,0,10.341,7.70
6/13/2023,07:53:28 am,0,10.338,7.70
6/13/2023,08:23:28 am,0,10.338,7.80
6/13/2023,08:53:28 am,0,10.338,7.80
6/13/2023,09:23:28 am,0,10.335,7.80
6/13/2023,09:53:28 am,0,10.332,7.80
6/13/2023,10:23:28 am,0,10.326,7.80
6/13/2023,10:53:28 am,0,10.326,7.80
6/13/2023,11:23:28 am,0,10.323,7.80
6/13/2023,11:53:28 am,0,10.320,7.80
6/13/2023,12:23:28 pm,0,10.317,7.80
6/13/2023,12:53:28 pm,0,10.317,7.80
6/13/2023,01:23:28 pm,0,10.314,7.80
6/13/2023,01:53:28 pm,0,10.311,7.80
6/13/2023,02:23:28 pm,0,10.308,7.80
6/13/2023,02:53:28 pm,0,10.305,7.80
6/13/2023,03:23:28 pm,0,10.302,7.80
6/13/2023,03:53:28 pm,0,10.299,7.80
6/13/2023,04:23:28 pm,0,10.299,7.80
6/13/2023,04:53:28 pm,0,10.296,7.80
6/13/2023,05:23:28 pm,0,10.296,7.80
